datetime,funding_hourly,premium
2026-07-10 19:00:00.029000+00:00,1.08057e-05,-0.0004135546
2026-07-10 20:00:00.039000+00:00,7.3465e-06,-0.0004412276
2026-07-10 21:00:00.032000+00:00,1.25e-05,-0.0003420772
2026-07-10 22:00:00.008000+00:00,1.25e-05,-0.0003484619
2026-07-10 23:00:00.054000+00:00,9.0435e-06,-0.000427652
2026-07-11 00:00:00.046000+00:00,5.9922e-06,-0.0004520627
2026-07-11 01:00:00.003000+00:00,6.7648e-06,-0.0004458812
2026-07-11 02:00:00.086000+00:00,8.2968e-06,-0.0004336255
2026-07-11 03:00:00.061000+00:00,3.6748e-06,-0.0004706019
2026-07-11 04:00:00+00:00,1.06193e-05,-0.0004150455
2026-07-11 05:00:00.014000+00:00,1.12906e-05,-0.0004096749
2026-07-11 06:00:00.004000+00:00,8.8592e-06,-0.0004291267
2026-07-11 07:00:00.002000+00:00,1.25e-05,-0.0003844804
2026-07-11 08:00:00.047000+00:00,1.25e-05,-0.0003842479
2026-07-11 09:00:00.015000+00:00,1.02699e-05,-0.0004178411
2026-07-11 10:00:00.064000+00:00,6.0573e-06,-0.0004515419
2026-07-11 11:00:00.007000+00:00,1.25e-05,-0.0003621184
2026-07-11 12:00:00.045000+00:00,1.25e-05,-0.0003767735
2026-07-11 13:00:00.057000+00:00,1.25e-05,-0.0003699626
2026-07-11 14:00:00.068000+00:00,1.25e-05,-0.0003980223
2026-07-11 15:00:00.046000+00:00,1.25e-05,-0.0003120587
2026-07-11 16:00:00.012000+00:00,5.0581e-06,-0.0004595354
2026-07-11 17:00:00.042000+00:00,9.3749e-06,-0.0004250008
2026-07-11 18:00:00.014000+00:00,1.25e-05,-0.0003464011
2026-07-11 19:00:00.040000+00:00,1.25e-05,-0.0003278286
2026-07-11 20:00:00.027000+00:00,1.25e-05,-0.0003190878
2026-07-11 21:00:00.018000+00:00,1.25e-05,-0.0003030134
2026-07-11 22:00:00.055000+00:00,1.25e-05,-0.0003716242
2026-07-11 23:00:00+00:00,1.07174e-05,-0.0004142605
2026-07-12 00:00:00.016000+00:00,4.0208e-06,-0.0004678337
2026-07-12 01:00:00.039000+00:00,5.7888e-06,-0.0004536899
2026-07-12 02:00:00.006000+00:00,1.18221e-05,-0.0004054235
2026-07-12 03:00:00.028000+00:00,1.20157e-05,-0.0004038743
2026-07-12 04:00:00.023000+00:00,1.25e-05,-0.000378536
2026-07-12 05:00:00.029000+00:00,1.2265e-05,-0.0004018802
2026-07-12 06:00:00.033000+00:00,1.25e-05,-0.0003858554
2026-07-12 07:00:00.036000+00:00,1.25e-05,-0.0003975242
2026-07-12 08:00:00.016000+00:00,8.4337e-06,-0.0004325301
2026-07-12 09:00:00.011000+00:00,9.6824e-06,-0.0004225408
2026-07-12 10:00:00.018000+00:00,4.7617e-06,-0.0004619062
2026-07-12 11:00:00.026000+00:00,5.5884e-06,-0.0004552926
2026-07-12 12:00:00.051000+00:00,-1.7909e-06,-0.0005143275
2026-07-12 13:00:00.002000+00:00,8.5045e-06,-0.0004319642
2026-07-12 14:00:00.005000+00:00,1.25e-05,-0.0003614466
2026-07-12 15:00:00.049000+00:00,1.25e-05,-0.000332785
2026-07-12 16:00:00.038000+00:00,1.25e-05,-0.0003957575
2026-07-12 17:00:00.033000+00:00,8.8529e-06,-0.0004291769
2026-07-12 18:00:00.074000+00:00,1.12215e-05,-0.0004102283
2026-07-12 19:00:00.028000+00:00,1.25e-05,-0.0003923856
2026-07-12 20:00:00.131000+00:00,1.17965e-05,-0.0004056279
2026-07-12 21:00:00.020000+00:00,8.5203e-06,-0.0004318377
2026-07-12 22:00:00.022000+00:00,8.0992e-06,-0.0004352067
2026-07-12 23:00:00.070000+00:00,1.0405e-06,-0.0004916763
2026-07-13 00:00:00.059000+00:00,8.759e-07,-0.0004929927
2026-07-13 01:00:00.019000+00:00,4.8729e-06,-0.0004610171
2026-07-13 02:00:00.075000+00:00,1.25e-05,-0.0003825739
2026-07-13 03:00:00.046000+00:00,8.5403e-06,-0.0004316773
2026-07-13 04:00:00.053000+00:00,1.25e-05,-0.0003774239
2026-07-13 05:00:00.041000+00:00,1.05557e-05,-0.0004155546
2026-07-13 06:00:00.026000+00:00,1.08589e-05,-0.0004131286
2026-07-13 07:00:00.058000+00:00,1.07992e-05,-0.0004136061
2026-07-13 08:00:00.019000+00:00,1.07623e-05,-0.0004139017
2026-07-13 09:00:00.001000+00:00,1.25e-05,-0.0003828588
2026-07-13 10:00:00.032000+00:00,1.24506e-05,-0.0004003949
2026-07-13 11:00:00.001000+00:00,1.25e-05,-0.0003893911
2026-07-13 12:00:00.048000+00:00,1.25e-05,-0.0003407449
2026-07-13 13:00:00.014000+00:00,1.25e-05,-0.0003079338
2026-07-13 14:00:00.010000+00:00,1.25e-05,-0.0003846466
2026-07-13 15:00:00.082000+00:00,8.5816e-06,-0.0004313471
2026-07-13 16:00:00.032000+00:00,1.25e-05,-0.0003362835
2026-07-13 17:00:00.052000+00:00,1.25e-05,-0.000376106
2026-07-13 18:00:00.052000+00:00,1.25e-05,-0.0003931598
2026-07-13 19:00:00.116000+00:00,7.4225e-06,-0.0004406198
2026-07-13 20:00:00.071000+00:00,9.028e-06,-0.0004277757
2026-07-13 21:00:00.041000+00:00,1.1532e-05,-0.0004077441
2026-07-13 22:00:00.060000+00:00,1.25e-05,-0.0003786244
2026-07-13 23:00:00.021000+00:00,6.4678e-06,-0.0004482574
2026-07-14 00:00:00.011000+00:00,5.7123e-06,-0.0004543015
2026-07-14 01:00:00.018000+00:00,-4.5646e-06,-0.0005365166
2026-07-14 02:00:00.032000+00:00,-6.7662e-06,-0.0005541294
2026-07-14 03:00:00.017000+00:00,-2.8221e-06,-0.000522577
2026-07-14 04:00:00.061000+00:00,3.065e-07,-0.0004975481
2026-07-14 05:00:00.064000+00:00,-7.856e-07,-0.0005062847
2026-07-14 06:00:00.074000+00:00,-8.67e-07,-0.0005069356
2026-07-14 07:00:00.044000+00:00,1.307e-07,-0.0004989544
2026-07-14 08:00:00.009000+00:00,8.2388e-06,-0.0004340899
2026-07-14 09:00:00.061000+00:00,1.25e-05,-0.0003719817
2026-07-14 10:00:00.113000+00:00,1.25e-05,-0.0003255869
2026-07-14 11:00:00.030000+00:00,1.25e-05,-0.0002432547
2026-07-14 12:00:00.008000+00:00,1.25e-05,-0.0002515516
2026-07-14 13:00:00.028000+00:00,1.25e-05,-0.0002430889
2026-07-14 14:00:00.012000+00:00,1.25e-05,-0.0002447253
2026-07-14 15:00:00.038000+00:00,1.25e-05,-0.0001816505
2026-07-14 16:00:00.005000+00:00,1.25e-05,-0.0002347301
2026-07-14 17:00:00.042000+00:00,1.25e-05,-0.0002291366
2026-07-14 18:00:00.013000+00:00,1.25e-05,-0.0001947791
2026-07-14 19:00:00.021000+00:00,1.25e-05,-0.0002616983
2026-07-14 20:00:00.027000+00:00,1.25e-05,-0.0002832444
2026-07-14 21:00:00.003000+00:00,1.25e-05,-0.0002383895
2026-07-14 22:00:00.007000+00:00,1.25e-05,-0.0002547425
2026-07-14 23:00:00.049000+00:00,1.25e-05,-0.0003017435
2026-07-15 00:00:00.046000+00:00,1.25e-05,-0.0003207732
2026-07-15 01:00:00.032000+00:00,1.25e-05,-0.00026639
2026-07-15 02:00:00.028000+00:00,1.25e-05,-0.0002631799
2026-07-15 03:00:00.041000+00:00,1.25e-05,-0.0002547947
2026-07-15 04:00:00.005000+00:00,1.25e-05,-0.0002628537
2026-07-15 05:00:00.066000+00:00,1.25e-05,-0.0002185534
2026-07-15 06:00:00.025000+00:00,1.25e-05,-9.7155e-05
2026-07-15 07:00:00.039000+00:00,1.25e-05,-0.0001168861
2026-07-15 08:00:00.024000+00:00,1.25e-05,-0.0001483814
2026-07-15 09:00:00.018000+00:00,1.25e-05,-0.0001547129
2026-07-15 10:00:00.013000+00:00,1.25e-05,-0.0001543562
2026-07-15 11:00:00.002000+00:00,1.25e-05,-0.000186282
2026-07-15 12:00:00.055000+00:00,1.25e-05,-0.0001498185
2026-07-15 13:00:00.042000+00:00,1.25e-05,-0.0001124968
2026-07-15 14:00:00.050000+00:00,1.25e-05,-9.79842e-05
2026-07-15 15:00:00.004000+00:00,1.25e-05,-9.61268e-05
2026-07-15 16:00:00.009000+00:00,1.25e-05,-0.000131217
2026-07-15 17:00:00.031000+00:00,1.25e-05,-0.000196277
2026-07-15 18:00:00.023000+00:00,1.25e-05,-0.0001784326
2026-07-15 19:00:00.063000+00:00,1.25e-05,-0.0001269014
2026-07-15 20:00:00.068000+00:00,1.25e-05,-0.0001201536
2026-07-15 21:00:00.027000+00:00,1.25e-05,-0.0001227973
2026-07-15 22:00:00.016000+00:00,1.25e-05,-0.0002068413
2026-07-15 23:00:00.034000+00:00,1.25e-05,-0.0001709881
2026-07-16 00:00:00.034000+00:00,1.25e-05,-0.0001731705
2026-07-16 01:00:00.054000+00:00,1.25e-05,-0.0001535594
2026-07-16 02:00:00.027000+00:00,1.25e-05,-0.0002010071
2026-07-16 03:00:00.033000+00:00,1.25e-05,-0.0002536051
2026-07-16 04:00:00.056000+00:00,1.25e-05,-0.0002436971
2026-07-16 05:00:00.122000+00:00,1.25e-05,-0.0002275751
2026-07-16 06:00:00.066000+00:00,1.25e-05,-0.0002278286
2026-07-16 07:00:00.042000+00:00,1.25e-05,-0.0001913998
2026-07-16 08:00:00.015000+00:00,1.25e-05,-0.000151433
2026-07-16 09:00:00.017000+00:00,1.25e-05,-0.0001530618
2026-07-16 10:00:00.008000+00:00,1.25e-05,-0.0001258548
2026-07-16 11:00:00.020000+00:00,1.25e-05,-0.0001569067
2026-07-16 12:00:00.028000+00:00,1.25e-05,-0.0001543656
2026-07-16 13:00:00.050000+00:00,1.25e-05,-0.0001807907
2026-07-16 14:00:00.054000+00:00,1.25e-05,-0.0001961128
