date,data_mode,price,vol_forecast,hmm_regime,macro_regime,signal_score,direction,recommended_leverage,prob_ruin
2026-07-30,degraded,4169.9,0.228,turbulent,hostile,-0.423,short,0.0,0.0
2026-07-31,degraded,4120.5,0.2059,normal,hostile,-0.417,short,0.0,0.0
2026-08-03,degraded,4114.6,0.2112,normal,hostile,-0.402,short,0.0,0.0
2026-08-04,degraded,4121.3,0.2123,normal,hostile,-0.403,short,0.0,0.0
2026-08-05,degraded,4229.9,0.2248,turbulent,hostile,-0.391,short,0.0,0.0
2026-08-06,degraded,4318.9,0.2447,turbulent,hostile,-0.403,short,0.01,0.0
2026-08-07,degraded,4399.7,0.2552,turbulent,hostile,-0.408,short,0.03,0.0
2026-08-10,degraded,4415.9,0.2472,turbulent,hostile,-0.42,short,0.04,0.0
2026-08-11,degraded,4431.2,0.2376,turbulent,hostile,-0.431,short,0.05,0.0
2026-08-12,degraded,4458.9,0.2259,turbulent,hostile,-0.415,short,0.05,0.0
2026-08-13,degraded,4435.7,0.2178,calm,hostile,-0.407,short,0.05,0.0
2026-08-14,degraded,4390.8,0.211,normal,hostile,-0.374,short,0.03,0.0
2026-08-17,degraded,4451.6,0.2107,normal,hostile,-0.334,short,0.04,0.0
2026-08-18,degraded,4451.7,0.207,normal,hostile,-0.316,short,0.04,0.0
2026-08-19,degraded,4390.1,0.2027,normal,hostile,-0.313,short,0.03,0.0
2026-08-20,degraded,4536.0,0.2234,normal,hostile,-0.324,short,0.06,0.0
2026-08-21,degraded,4606.8,0.223,turbulent,hostile,-0.338,short,0.08,0.0
