datetime,equity,gross_leverage,n_positions,halted
2026-08-09T18:23:57+00:00,9997.08,0.649,4,False
2026-08-10T06:59:33+00:00,10069.76,0.188,2,False
2026-08-11T06:39:29+00:00,10100.16,1.196,7,False
2026-08-12T07:00:39+00:00,10154.97,1.566,7,False
2026-08-13T07:04:54+00:00,9946.64,0.719,4,False
2026-08-14T07:01:03+00:00,10006.05,1.445,7,False
2026-08-17T06:22:27+00:00,9969.33,0.745,5,False
2026-08-18T06:05:04+00:00,9937.17,0.589,4,False
2026-08-19T06:05:53+00:00,9870.9,0.81,4,False
2026-08-20T06:05:24+00:00,9727.69,1.43,6,False
2026-08-21T06:07:10+00:00,10980.67,1.647,6,False
2026-08-24T06:26:46+00:00,12722.44,0.33,4,False
2026-08-25T06:06:34+00:00,12817.34,1.163,6,False
2026-08-26T06:20:21+00:00,12302.9,0.425,4,False
